State,Event,Patient
Andaman and Nicobar Islands,E0,956
Andaman and Nicobar Islands,E0,957
Andhra Pradesh,E0,1172
Andhra Pradesh,E0,1173
Andhra Pradesh,E0,1404
Andhra Pradesh,E0,1406
Andhra Pradesh,E0,1407
Andhra Pradesh,E0,1409
Andhra Pradesh,E0,1410
Andhra Pradesh,E0,1411
Andhra Pradesh,E0,1412
Andhra Pradesh,E0,1413
Andhra Pradesh,E0,1414
Andhra Pradesh,E0,1415
Andhra Pradesh,E0,1416
Andhra Pradesh,E0,1610
Andhra Pradesh,E0,1611
Andhra Pradesh,E0,1612
Andhra Pradesh,E0,1613
Andhra Pradesh,E0,1669
Andhra Pradesh,E0,1670
Andhra Pradesh,E0,1671
Andhra Pradesh,E0,1672
Andhra Pradesh,E0,1673
Andhra Pradesh,E0,1674
Andhra Pradesh,E0,1675
Andhra Pradesh,E0,1676
Andhra Pradesh,E0,1677
Andhra Pradesh,E0,1678
Andhra Pradesh,E0,1679
Andhra Pradesh,E0,1680
Andhra Pradesh,E0,1681
Andhra Pradesh,E0,1682
Andhra Pradesh,E0,1683
Andhra Pradesh,E0,1684
Andhra Pradesh,E0,1685
Andhra Pradesh,E0,1686
Andhra Pradesh,E0,1687
Andhra Pradesh,E0,1688
Andhra Pradesh,E0,1689
Andhra Pradesh,E0,1690
Andhra Pradesh,E0,1691
Andhra Pradesh,E0,1692
Andhra Pradesh,E0,1693
Andhra Pradesh,E0,1694
Andhra Pradesh,E0,1695
Andhra Pradesh,E0,1696
Andhra Pradesh,E0,1697
Andhra Pradesh,E0,1698
Andhra Pradesh,E0,1699
Andhra Pradesh,E0,1700
Andhra Pradesh,E0,1701
Andhra Pradesh,E0,1702
Andhra Pradesh,E0,1703
Andhra Pradesh,E0,1704
Andhra Pradesh,E0,1705
Andhra Pradesh,E0,1706
Andhra Pradesh,E0,1707
Andhra Pradesh,E0,1708
Andhra Pradesh,E0,1709
Andhra Pradesh,E0,1710
Andhra Pradesh,E0,1711
Arunachal Pradesh,E0,2094
Assam,E0,1722
Assam,E0,1723
Assam,E0,1724
Assam,E0,1725
Assam,E0,1967
Assam,E0,1968
Assam,E0,1969
Assam,E0,1970
Assam,E0,1971
Assam,E0,1972
Assam,E0,1973
Assam,E0,1974
Assam,E0,2846
Assam,E0,2847
Assam,E0,2848
Assam,E0,2849
Assam,E0,3106
Assam,E0,3107
Assam,E0,3108
Assam,E0,3109
Assam,E0,3210
Assam,E0,3572
Chhattisgarh,E0,3211
Delhi,E0,1122
Delhi,E0,1123
Delhi,E0,1124
Delhi,E0,1125
Delhi,E0,1126
Delhi,E0,1127
Delhi,E0,1282
Delhi,E0,1283
Delhi,E0,1284
Delhi,E0,1285
Delhi,E0,1286
Delhi,E0,1287
Delhi,E0,1288
Delhi,E0,1289
Delhi,E0,1290
Delhi,E0,1291
Delhi,E0,1292
Delhi,E0,1293
Delhi,E0,1294
Delhi,E0,1295
Delhi,E0,1296
Delhi,E0,1297
Delhi,E0,1298
Delhi,E0,1299
Gujarat,E0,3710
Gujarat,E0,3711
Gujarat,E0,3712
Gujarat,E0,3713
Gujarat,E0,3714
Gujarat,E0,3720
Himachal Pradesh,E0,3790
Himachal Pradesh,E0,3791
Himachal Pradesh,E0,3792
Himachal Pradesh,E0,3793
Himachal Pradesh,E0,3794
Himachal Pradesh,E0,3795
Jammu and Kashmir,E0,531
Jammu and Kashmir,E0,783
Jammu and Kashmir,E0,784
Karnataka,E0,758
Karnataka,E0,2103
Karnataka,E0,2104
Karnataka,E0,2105
Karnataka,E0,2106
Karnataka,E0,2107
Karnataka,E0,2108
Karnataka,E0,2109
Karnataka,E0,2110
Karnataka,E0,2111
Karnataka,E0,2112
Karnataka,E0,2113
Karnataka,E0,2890
Karnataka,E0,2891
Karnataka,E0,2892
Karnataka,E0,3246
Karnataka,E0,3247
Karnataka,E0,3832
Karnataka,E0,3833
Karnataka,E0,3834
Karnataka,E0,3835
Karnataka,E0,3836
Kerala,E0,2212
Kerala,E0,2215
Kerala,E0,3456
Kerala,E0,3825
Kerala,E0,3826
Kerala,E0,3827
Kerala,E0,3828
Maharashtra,E0,1500
Maharashtra,E0,1501
Maharashtra,E0,2527
Maharashtra,E0,2531
Maharashtra,E0,2532
Maharashtra,E0,2533
Manipur,E0,2015
