Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Population,Removed,Susceptibles,Total_beds,Total_Available_Beds,Lockdown_Flag
366,2020-03-26,6:00 PM,Andaman and Nicobar Islands,1.0,0.0,0,0,1,380581,0,380580,,,1
393,2020-03-27,10:00 AM,Andaman and Nicobar Islands,1.0,0.0,0,0,1,380581,0,380580,,,1
421,2020-03-28,6:00 PM,Andaman and Nicobar Islands,6.0,0.0,0,0,6,380581,0,380575,,,1
448,2020-03-29,7:30 PM,Andaman and Nicobar Islands,,,0,0,9,380581,0,380572,,,1
475,2020-03-30,9:30 PM,Andaman and Nicobar Islands,,,0,0,9,380581,0,380572,,,1
503,2020-03-31,8:30 PM,Andaman and Nicobar Islands,,,0,0,10,380581,0,380571,,,1
531,2020-04-01,7:30 PM,Andaman and Nicobar Islands,,,0,0,10,380581,0,380571,,,1
560,2020-04-02,6:00 PM,Andaman and Nicobar Islands,,,0,0,10,380581,0,380571,,,1
589,2020-04-03,6:00 PM,Andaman and Nicobar Islands,,,0,0,10,380581,0,380571,,,1
620,2020-04-04,6:00 PM,Andaman and Nicobar Islands,,,0,0,10,380581,0,380571,,,1
650,2020-04-05,6:00 PM,Andaman and Nicobar Islands,,,0,0,10,380581,0,380571,,,1
122,2020-03-12,6:00 PM,Andhra Pradesh,1.0,0.0,0,0,1,49577103,0,49577102,83937.0,83936.0,0
135,2020-03-13,6:00 PM,Andhra Pradesh,1.0,0.0,0,0,1,49577103,0,49577102,83937.0,83936.0,0
148,2020-03-14,6:00 PM,Andhra Pradesh,1.0,0.0,0,0,1,49577103,0,49577102,83937.0,83936.0,0
149,2020-03-15,6:00 PM,Andhra Pradesh,1.0,0.0,0,0,1,49577103,0,49577102,83937.0,83936.0,0
163,2020-03-16,6:00 PM,Andhra Pradesh,1.0,0.0,0,0,1,49577103,0,49577102,83937.0,83936.0,0
178,2020-03-17,6:00 PM,Andhra Pradesh,1.0,0.0,0,0,1,49577103,0,49577102,83937.0,83936.0,0
193,2020-03-18,6:00 PM,Andhra Pradesh,1.0,0.0,0,0,1,49577103,0,49577102,83937.0,83936.0,0
210,2020-03-19,6:00 PM,Andhra Pradesh,2.0,0.0,0,0,2,49577103,0,49577101,83937.0,83935.0,0
229,2020-03-20,6:00 PM,Andhra Pradesh,3.0,0.0,0,0,3,49577103,0,49577100,83937.0,83934.0,0
249,2020-03-21,6:00 PM,Andhra Pradesh,3.0,0.0,0,0,3,49577103,0,49577100,83937.0,83934.0,0
271,2020-03-22,6:00 PM,Andhra Pradesh,5.0,0.0,0,0,5,49577103,0,49577098,83937.0,83932.0,0
294,2020-03-23,6:00 PM,Andhra Pradesh,7.0,0.0,0,0,7,49577103,0,49577096,83937.0,83930.0,0
317,2020-03-24,6:00 PM,Andhra Pradesh,8.0,0.0,0,0,8,49577103,0,49577095,83937.0,83929.0,0
341,2020-03-25,6:00 PM,Andhra Pradesh,9.0,0.0,1,0,9,49577103,1,49577093,83937.0,83928.0,1
367,2020-03-26,6:00 PM,Andhra Pradesh,11.0,0.0,1,0,11,49577103,1,49577091,83937.0,83926.0,1
394,2020-03-27,10:00 AM,Andhra Pradesh,12.0,0.0,1,0,12,49577103,1,49577090,83937.0,83925.0,1
420,2020-03-28,6:00 PM,Andhra Pradesh,14.0,0.0,1,0,14,49577103,1,49577088,83937.0,83923.0,1
447,2020-03-29,7:30 PM,Andhra Pradesh,,,1,0,19,49577103,1,49577083,83937.0,83918.0,1
